Szállítások
"Rendelés Azonosító","Szállítási Dátum","Cikkszám","Partner Azonosító","Név","Mennyíség",
"Szállítási Dátum","Súly(Kg)",
Nyított Rendelések
"Rendelés Dátum","Határ Idő","Partner Azonosító","Rendelés Azonosító","Order Item Seq Id","Cikkszám","Név","Mennyíség","Szállított db","Szállítando db","Súly(Kg)","Progres Net Weight",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00001","100532","DT-136 LESZORITÓ TELE","3 105","0","3 105","2 949,75","2 949,75",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00002","100559","TM-131","22","0","22","63,58","3 013,33",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00003","100519","DT-121","1 085","240","845","1 690","4 703,33",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00005","100578","TM-150/3","600","0","600","1 260","5 963,33",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00006","100598","FK-6","99","0","99","242,55","6 205,88",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00007","100533","DT-137 leszorito","159","0","159","79,5","6 285,38",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00008","100595","KV főző alátét csillag","1 475","0","1 475","147,5","6 432,88",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00009","100530","FK-13","72","0","72","136,8","6 569,68",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00010","100575","FK-17","208","0","208","998,4","7 568,08",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00011","100541","FK-140/2","238","0","238","1 130,5","8 698,58",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00012","100522","FK-150/1","163","0","163","440,1","9 138,68",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00013","100523","FK-150/2","253","0","253","986,7","10 125,38",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00014","100540","FK-140/1","943","0","943","3 866,3","13 991,68",
"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00015","100531","FK-14","26","0","26","54,6","14 046,28",
"2024.12.02.","2025.01.06.","Stovax","10091","00001","230707","CA7686","100","0","100","110","14 156,28",
"2024.12.02.","2025.01.06.","Stovax","10091","00002","230708","CA7687","100","0","100","130","14 286,28",
"2024.12.02.","2025.01.06.","Stovax","10091","00003","230807","CA7832","100","0","100","1 310","15 596,28",
"2024.12.02.","2025.01.06.","Stovax","10091","00004","230475","CA8008","75","4","71","284","15 880,28",
"2024.12.02.","2025.01.06.","Stovax","10091","00005","230478","CA8010","50","0","50","225","16 105,28",
