Szállítások

"Rendelés Azonosító","Szállítási Dátum","Cikkszám","Partner Azonosító","Név","Mennyíség",

"Szállítási Dátum","Súly(Kg)",

Nyított Rendelések

"Rendelés Dátum","Határ Idő","Partner Azonosító","Rendelés Azonosító","Order Item Seq Id","Cikkszám","Név","Mennyíség","Szállított db","Szállítando db","Súly(Kg)","Progres Net Weight",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00001","100532","DT-136 LESZORITÓ TELE","3105","0","3105","2949,75","2949,75",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00002","100559","TM-131","22","0","22","63,58","3013,33",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00003","100519","DT-121","1085","240","845","1690","4703,33",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00005","100578","TM-150/3","600","0","600","1260","5963,33",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00006","100598","FK-6","99","0","99","242,55","6205,88",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00007","100533","DT-137 leszorito","159","0","159","79,5","6285,38",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00008","100595","KV főző alátét csillag","1475","0","1475","147,5","6432,88",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00009","100530","FK-13","72","0","72","136,8","6569,68",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00010","100575","FK-17","208","0","208","998,4","7568,08",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00011","100541","FK-140/2","238","0","238","1130,5","8698,58",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00012","100522","FK-150/1","163","0","163","440,1","9138,68",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00013","100523","FK-150/2","253","0","253","986,7","10125,38",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00014","100540","FK-140/1","943","0","943","3866,3","13991,68",

"2024.11.11.","2024.12.31.","Kazi Kazán","10050","00015","100531","FK-14","26","0","26","54,6","14046,28",

"2024.12.02.","2025.01.06.","Stovax","10091","00001","230707","CA7686","100","0","100","110","14156,28",

"2024.12.02.","2025.01.06.","Stovax","10091","00002","230708","CA7687","100","0","100","130","14286,28",

"2024.12.02.","2025.01.06.","Stovax","10091","00003","230807","CA7832","100","0","100","1310","15596,28",

"2024.12.02.","2025.01.06.","Stovax","10091","00004","230475","CA8008","75","4","71","284","15880,28",

"2024.12.02.","2025.01.06.","Stovax","10091","00005","230478","CA8010","50","0","50","225","16105,28",

"2024.12.02.","2025.01.06.","Stovax","10091","00006","230484","CA8017","95","0","95","160,17","16265,45",

"2024.12.02.","2025.01.06.","Stovax","10091","00007","230705","CA7179","50","0","50","475","16740,45",

"2024.12.02.","2025.01.06.","Stovax","10092","00001","230706","CA7682","150","0","150","300","17040,45",

"2024.12.02.","2025.01.06.","Stovax","10092","00002","230477","CA8009","75","0","75","166,425","17206,875",

"2024.12.02.","2025.01.06.","Stovax","10092","00004","230482","CA8015","50","0","50","418,25","17625,125",

"2024.12.01.","2025.01.06.","Stovax","10093","00002","230462","CA7680","50","0","50","55","17680,125",

"2024.12.01.","2025.01.06.","Stovax","10093","00003","230706","CA7682","50","0","50","100","17780,125",

"2024.12.01.","2025.01.06.","Stovax","10093","00004","230458","CA7050","75","0","75","120","17900,125",

"2024.12.01.","2025.01.20.","AGARangemaster","10099","00002","120767","Q00003","100","72","28","84","17984,125",

"2024.12.01.","2025.01.20.","AGARangemaster","10099","00007","120646","Q00207AXX","100","0","100","1420","19404,125",

"2024.12.01.","2025.01.20.","AGARangemaster","10099","00008","120649","Q00212AXX","100","0","100","110","19514,125",

"2024.12.01.","2025.01.20.","AGARangemaster","10099","00009","120763","FS4M997723","20","0","20","12","19526,125",

"2025.01.16.","2025.01.21.","Kazi Kazán","10104","00001","100604","470x100 rostély (kolozsi) Alphatherm","500","200","300","1005","20531,125",

"2025.01.09.","2025.01.23.","Wamsler","10096","00001","102100","137849 - 5000 ÉGÖGYÜRÜ 4/5 KW (OU OS OZ)","130","0","130","63,7","20594,825",

"2025.01.09.","2025.01.23.","Wamsler","10096","00002","102148","137920 - DELTA ROSTÉLY / Rost (Delta)","100","0","100","180","20774,825",

"2025.01.09.","2025.01.23.","Wamsler","10096","00003","102046","137752 - TÜZELÖAJTÓ ABL  (KAM)","110","0","110","306,9","21081,725",

"2025.01.09.","2025.01.23.","Wamsler","10096","00004","102033","137652 - TÜZELÖAJTÓ-KERET ABL ÖNT (CA CO)","100","0","100","228","21309,725",

"2025.01.09.","2025.01.23.","Wamsler","10096","00005","102034","137653 - TÜZELÖAJTÓ ABL ÖNT (CA CO)","80","0","80","154,4","21464,125",

"2025.01.09.","2025.01.23.","Wamsler","10096","00006","102136","137901 - PARÁZSAJTÓ (KAM8)","200","0","200","300","21764,125",

"2025.01.09.","2025.01.23.","Wamsler","10096","00007","102043","137748 - FÜSTCSÖCSONK PEREMMEL (S114 KAM)","150","0","150","202,5","21966,625",

"2025.01.09.","2025.01.23.","Wamsler","10096","00008","102028","137647 - FEDLAP ÖNT (CA DE CO)","120","0","120","559,2","22525,825",

"2025.01.09.","2025.01.23.","Wamsler","10096","00009","102269","138179 - CA 7624","100","0","100","320","22845,825",

"2025.01.09.","2025.01.23.","Wamsler","10096","00010","102042","137745 - FÜSTCSÖCSONK  (SA S114 KAM LK)","330","0","330","379,5","23225,325",

"2025.01.09.","2025.01.23.","Wamsler","10096","00011","102049","137756 - HAMUAJTÓ-KERET ÖNT (KAM6)","150","0","150","571,5","23796,825",

"2024.12.01.","2025.01.23.","Pisla","10101","00001","100819","4030010T - STOVE TOP 530X530 TIILERI WITH KL4 szett","50","0","50","1160","24956,825",

"2024.12.01.","2025.01.23.","Pisla","10101","00002","100858","M117101002 - HTT-102 KV","150","0","150","570","25526,825",

"2024.12.01.","2025.01.23.","Pisla","10101","00003","100800","40600010 - HTT 1B FIRE GRATE 135X290","4800","0","4800","6480","32006,825",

"2024.12.01.","2025.01.23.","Pisla","10101","00004","100802","40600050 - HTT 3 FIRE GRATE 140X390 rács","1200","0","1200","3120","35126,825",

"2024.12.01.","2025.01.23.","Pisla","10101","00005","100801","40600090 - HTT 3B FIRE GRATE 210X405 (mod 2020-07-24)","800","0","800","3200","38326,825",

"2024.12.01.","2025.01.23.","Pisla","10101","00006","100808","40600330 - HTT 1D FIRE GRATE 135X250","600","0","600","1020","39346,825",

"2024.12.01.","2025.01.23.","Pisla","10101","00007","100970","40600590 - HTT 194x400 POT GRATE","200","0","200","780","40126,825",

"2024.12.01.","2025.01.23.","Pisla","10101","00008","100972","40600610 - HTT 150 x 350 rostély","200","0","200","630","40756,825",

"2024.12.01.","2025.01.23.","Pisla","10101","00009","100987","4040031M - HTT 505 csomagolva/doboz/312/raklap","312","0","312","561,6","41318,425",

"2024.12.01.","2025.01.23.","Pisla","10101","00010","100986","40400070 - HTT 105 csomagolva/doboz/312/raklap","312","0","312","561,6","41880,025",

"2024.12.01.","2025.01.23.","Pisla","10101","00011","121105","40900600 - Korpi ECO stove Black fekete DEEP FORREST br.80kg","20","0","20","1340","43220,025",

"2025.01.20.","2025.01.23.","Wamsler","10102","00001","102122","137878 - KÖZÉPSÖ BETÉT (KAMU8) TRENDY","30","0","30","95,22","43315,245",

"2025.01.20.","2025.01.23.","Wamsler","10102","00002","102123","137879 - TRENDY MOZGATÓGOMB NS","30","0","30","2,31","43317,555",

"2025.01.20.","2025.01.23.","Wamsler","10102","00003","102051","137758 - TÜZELÖAJTÓ TELE/HAMUAJTÓ (KAM)","80","0","80","426,4","43743,955",

"2025.01.20.","2025.01.23.","Wamsler","10102","00004","102134","137899 - TÜZELÖAJTÓ-KERET (KAM8) SZÜK","50","0","50","285","44028,955",

"2025.01.20.","2025.01.23.","Wamsler","10102","00005","102132","137896 - KÖZÉPSÖ BETÉT (KAM8)","40","0","40","96","44124,955",

"2025.01.01.","2025.01.30.","Fireplace","10098","00002","101557","5490-021","100","0","100","570","44694,955",

"2025.01.01.","2025.01.30.","Fireplace","10098","00003","101557","5490-021","50","0","50","285","44979,955",

"2025.01.01.","2025.01.30.","Fireplace","10098","00004","101573","5490-081B","60","0","60","759","45738,955",

"2025.01.01.","2025.01.30.","Fireplace","10098","00006","101564","5490-176","100","0","100","900","46638,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00001","101142","BNR 110 ÚJ","2000","0","2000","2060","48698,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00002","101174","BNR 120 VOLL","200","0","200","600","49298,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00003","101135","BNR 150 ÚJ","600","0","600","768","50066,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00004","101172","BNR 200 ÚJ","300","0","300","822","50888,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00005","101136","BNR 50","3000","0","3000","750","51638,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00006","101169","BNR 70","3000","0","3000","900","52538,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00007","101138","BNR 80","1500","0","1500","450","52988,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00008","101160","BNV 110/8","1000","0","1000","1150","54138,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00009","101162","BNV 150 ÚJ","200","0","200","460","54598,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00010","101163","BNV 200 új","200","0","200","840","55438,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00011","101157","BNV 50","3000","0","3000","900","56338,955",

"2024.11.28.","2025.01.31.","Bilz","10110","00012","101159","BNV 80","1500","0","1500","600","56938,955",

"2024.12.02.","2025.02.06.","Stovax","10094","00001","230460","CA7679","200","175","25","20","56958,955",

"2024.12.02.","2025.02.06.","Stovax","10094","00002","230462","CA7680","250","0","250","275","57233,955",

"2024.12.02.","2025.02.06.","Stovax","10094","00003","230706","CA7682","100","0","100","200","57433,955",

"2024.12.02.","2025.02.06.","Stovax","10094","00004","230707","CA7686","150","0","150","165","57598,955",

"2024.12.02.","2025.02.06.","Stovax","10094","00005","230708","CA7687","150","0","150","195","57793,955",

"2024.12.02.","2025.02.06.","Stovax","10094","00006","230475","CA8008","50","0","50","200","57993,955",

"2024.12.02.","2025.02.06.","Stovax","10094","00007","230484","CA8017","50","0","50","84,3","58078,255",

"2024.12.02.","2025.02.06.","Stovax","10094","00009","230705","CA7179","50","0","50","475","58553,255",

"2024.12.02.","2025.02.06.","Stovax","10094","00010","230458","CA7050","75","0","75","120","58673,255",

"2024.12.02.","2025.02.06.","Stovax","10094","00011","230801","MEC9296","50","0","50","445","59118,255",

"2025.01.14.","2025.02.07.","Pisla","10060","00001","100991","P401004701 - HTT 601 set","50","0","50","630","59748,255",

"2025.01.14.","2025.02.07.","Pisla","10060","00002","100923","M117411001 - HTT 412-01  keret megmunkált","200","0","200","470","60218,255",

"2025.01.14.","2025.02.07.","Pisla","10060","00003","100807","40600110 - HTT 2K FIRE GRATE 175X425(rács+keret","210","0","210","966","61184,255",

"2025.01.14.","2025.02.07.","Pisla","10060","00005","100800","40600010 - HTT 1B FIRE GRATE 135X290","4800","0","4800","6480","67664,255",

"2025.01.14.","2025.02.07.","Pisla","10060","00006","100971","40600630 - HTT 210 x 360 rostély","150","0","150","742,5","68406,755",

"2025.01.14.","2025.02.07.","Pisla","10060","00007","100806","40600130 - HTT 3K FIRE GRATE 210X410(rács+keret","450","0","450","2227,5","70634,255",

